Timestamp,Ax,Ay,Az,Gx,Gy,Gz,Label
125523.0,-3219.711454675033,-11598.955645855705,-34695.03886919924,5239.707236531619,26169.892948973968,-4192.072221626356,0
125545.0,-34298.65978189738,13081.334501603327,10967.224174926088,16746.70416647245,6914.91034887855,7840.7869365276965,0
125567.0,-21747.77059166437,7781.855756916315,-16663.950569350854,-8109.772508366313,20899.423659301294,-2038.0265249970353,0
125589.0,-18039.48110098047,1530.2656528219602,-1799.8566231047562,-5880.8900800754645,15280.287413123468,-974.386498499267,0
125611.0,-14350.734771410906,6308.570488414399,-472.7282569606191,-3075.78835091842,11958.01384764204,-1581.5706091047005,0
125633.0,-18325.565113695116,2886.2974578390663,-2372.2425309663345,-686.1802389441601,9180.05829053441,-4256.625219052469,0
125655.0,-17871.762738013367,2471.0874023223555,-870.6125549552307,2157.8054796685155,6915.384179945455,-3367.03959982564,0
125677.0,-17285.240224217105,3339.1419807979314,598.4230269529093,1352.505183364693,5427.618291476268,-1871.6822684227575,0
125699.0,-16983.319555013128,3004.992665274757,541.0626884041333,-1082.038240349902,6496.355023467683,-1041.0674307285246,0
125721.0,-15096.851076641982,6477.344614240142,171.55495082981227,-3194.775372291258,7487.117484628556,-835.9459123916844,0
125743.0,-15710.511225534276,5263.081420375865,-741.337338108381,-8993.731751253365,7891.395328820004,-2773.7442138475317,0
125765.0,-15852.506879458126,3729.780122362309,-1365.68466720715,-11104.38948508493,9643.767908979373,-3321.420797958301,0
125787.0,-17614.880063532328,1788.9097306863957,-1263.1677476775765,-9313.851088755075,11367.230481268089,-2991.7040934995784,0
125809.0,-17657.80035675833,2978.7099750147036,-1680.137679589974,-3840.6804156175313,11729.673326346783,-1797.737001350925,0
125831.0,-18242.744925368548,3084.582668541802,-2682.521605600894,-533.823948809343,11983.675365212524,-1354.4958086334289,0
125853.0,-18935.433215601468,2865.2823623087247,-2646.571752600203,-338.6224981940524,11243.786919012578,-1999.8538436004844,0
125875.0,-18714.68188014077,3376.4932379546485,-2797.047733484484,-276.2309598353423,9247.376061776968,-3005.623391163805,0
125897.0,-19585.08403511454,2676.2666609256553,-3010.4459219148403,578.2138242036294,8359.816351708607,-3027.548818010213,0
125919.0,-20285.548381048167,1336.5294392071867,-2683.6156571224556,2008.7150212305605,9037.264211942573,-2178.869608533281,0
125941.0,-20237.39090509278,1180.4905993408504,-2910.813663099562,1995.8277998451224,9929.500363261459,-2216.3282521787596,0
125963.0,-20752.052467155503,1996.1852622310744,-2907.5920052409997,1633.6755905439522,12082.806436329425,-2136.437037270296,0
125985.0,-20376.533105309314,3357.727769069665,-2224.4802151755184,1514.753876673158,14510.371006208657,-1802.872011956114,0
126007.0,-20824.34634584197,2330.396374625223,-2664.7406680141517,1643.4420484653767,16265.619099425521,-2167.5671067473018,0
126029.0,-21009.668224161196,3236.8983672772515,-2633.867710606949,2019.7494741680634,16916.004645712554,-2271.1526516613444,0
126051.0,-21868.726600898783,3788.5295806870135,-2142.300135958432,4314.459583072997,16842.03858989219,-2425.693683446919,0
126073.0,-25581.25001805496,2219.2632180976534,1617.0691343157337,6733.536395374667,17852.54202415598,-2463.9954001789447,0
126095.0,-21156.908870885236,5773.369662631717,3151.8995220560705,13100.040264950456,16776.447484700697,-3774.1691044724994,0
126117.0,-25614.810583181235,4549.865995968644,3462.2060294114235,20663.524089391296,20256.77824512829,-2962.1048757072,0
126139.0,-31029.1326200484,5890.31314671024,-9458.179202846623,19124.618608196502,30855.35142932792,-949.0639314875241,0
126161.0,-30774.462232322483,3266.1411411953372,13078.761835005638,5451.75715398703,21133.23185240429,-3594.0048634053783,0
126183.0,-18492.326678890484,8243.26272155076,-2925.602624025549,18220.21096171635,16878.886376957173,-948.296102884147,0
126205.0,-21793.838650127338,9620.199680813928,-20382.72761570198,14334.454380658457,31366.543086793758,-7472.590133473621,0
126227.0,-34316.447864861235,4323.3135945164495,-7779.116973940748,-13038.737660950068,5896.176755032548,-2625.9828134077516,0
126249.0,-9054.634035201405,12036.790750335207,16858.580276683224,-9209.900096678219,-5429.735173949818,6602.233155828648,0
126271.0,-6833.695813735216,1001.3298117644504,6314.05930579228,-12762.695914606547,-7997.3171621768515,602.2015840586449,0
126293.0,-7031.451467548043,2876.916322212077,-11.162633387833463,-6947.911003191472,-14400.24791780009,5129.6479226211395,0
126315.0,-6868.872899290307,4306.27802614285,-397.13693747831377,-8649.910034346485,-21639.736407143446,5528.658550609029,0
126337.0,-9009.159552498988,4993.30227330429,1316.1833736062856,-11593.605577876542,-27890.937331630736,4982.2375696771805,0
126359.0,-12778.477607131517,1821.4220692457925,-725.6843020458024,-11237.5168759843,-32855.249491688555,4360.544288811142,0
126381.0,-14598.736617557453,1583.0378590966232,-2666.5427283586523,-9506.75399407561,-34432.340866258615,4952.760087701192,0
126403.0,-18231.20359284692,909.0776875734443,-3006.1498951255458,-7834.051189685346,-34338.042839744034,4526.6265432427645,0
126425.0,-22079.23055508994,314.82393245234783,-4384.571204128533,-6489.226447614093,-34793.60399176392,4417.128327879101,0
126447.0,-24850.091982373862,2200.281463495745,-4529.524994616896,-6673.695449200795,-34508.68361958422,5465.899527084341,0
126469.0,-30296.926368623233,2599.07860651249,-4363.839720188476,-9150.75494664153,-34488.327071070606,5038.766122271067,0
126491.0,-34602.13750811928,3883.71775092705,-7206.635012661226,-10427.974229227086,-34356.01828905839,3911.911868384132,0
126513.0,-34313.69271968018,2977.2246525362284,-11575.385889379684,-7134.561424749105,-34879.52496256209,3549.6014220418037,0
126535.0,-34460.79504201807,3592.7615232864696,-21444.5833037519,-850.3670819133621,-34396.597397448684,5180.689211115783,0
126557.0,-31597.647011245015,6614.410802867291,-25436.306204415454,-8212.613871232403,-34515.85428575411,4444.234898434669,0
126579.0,-18368.7193783643,-3847.78070834942,-34322.11780355466,794.9175697177267,-22803.155153986794,1851.512605487667,0
126601.0,-9403.616870884558,-5402.309740301884,-34437.49801220052,9046.27441671128,-2214.589858896559,5064.700988173675,0
126623.0,-11520.32527871439,-1273.042741162886,-34219.99241817267,6073.405192787451,12264.039415160569,-2861.9536820720614,0
126645.0,-19636.43864871239,-2497.155656099909,-30894.643456430036,1612.2252784034847,20691.517140808708,-8287.612418946683,0
126667.0,-34483.22753576294,5300.872287577512,34340.38802090028,1142.8559391564902,-4998.125487939088,1483.2057104839091,0
126689.0,-5115.3148637191325,-8239.01591695906,-186.39996840987428,6859.1115097728025,13227.703588547929,-11208.328084943623,0
126711.0,-34504.39996976268,-20721.86618528978,-23545.51484900389,2234.535255313225,23764.318734348635,-745.4787476066025,0
126733.0,-13068.86452761956,6306.118251835426,2218.2676573153444,7405.566120837097,20161.800565467307,1042.9662795716251,0
126755.0,-27581.720640484593,18152.282323456293,-22820.371987517752,2040.3407858698636,19728.286099233752,5643.490025944967,0
126777.0,-20496.116696273315,-2739.409653961485,-38.82847201387444,-145.66582039466914,10734.843048746137,-3593.353094369977,0
126799.0,-15864.86613511729,2800.332354600003,126.35652856179138,1328.8568339023902,10047.539319301226,383.78884029666193,0
126821.0,-17530.11688213614,5843.255290045877,-1665.8886354153483,4637.111741323782,8350.728510751256,-637.8361102080244,0
126843.0,-17629.93344307109,3876.715910651782,-1569.2770001649385,4489.250085927921,6619.3349660273625,-2159.8102800859365,0
126865.0,-16862.998163586995,2514.2743544833975,-747.9160073549244,1962.5324364214173,5861.556436710549,-15.52401201946967,0
126887.0,-17770.699256426557,3219.8121399107467,-1010.2211842249172,-1597.2017620637228,6203.115095199725,-892.5259737452541,0
126909.0,-16330.217149902328,5422.083258426609,-1607.9092520975432,-5367.914025778019,6021.065590720618,-133.13691495864208,0
126931.0,-14993.889901687853,5388.899363099894,-1284.6238619883688,-8735.778477142821,7486.419789250683,-1633.8199483718922,0
126953.0,-16331.079805717134,3925.6056056198495,-1892.2370631580523,-7603.060661701453,8368.636608513736,-2675.087506070983,0
126975.0,-17223.24501267646,2267.5971581783133,-1526.7480008188425,-5492.627016198217,8945.330251186058,-1962.5037921146632,0
126997.0,-17500.37960806904,2118.954325742429,-1536.723244394007,-2921.365543077118,9006.003311566934,-1372.6314103202674,0
127019.0,-17288.047665755832,4277.912799139881,-2210.9806449994217,-18.6177303364236,8341.630664012668,-506.61777029259616,0
127041.0,-17151.19241163058,5578.647758666784,-2760.722874318764,-1581.1133854569125,8076.80874461846,-1812.1894673704787,0
127063.0,-17210.611502988642,3440.1505048199165,-3897.5763362751513,-2071.028314929692,8823.49818785757,-1802.1706822787396,0
127085.0,-18453.31109963166,3613.6982504285947,-4098.850928534308,-1315.3260901302483,8419.332655793702,-2008.0320362708312,0
127107.0,-18784.507419827798,2657.4369817631455,-3969.748320813348,532.3812564828818,8039.487194296771,-2401.1579168251815,0
127129.0,-18766.69036491397,2943.3629045463817,-3582.7424729537483,2399.6199759818865,8574.38433090448,-1642.6449461682944,0
127151.0,-20417.9932778185,1364.8439869822855,-3681.053367728796,2531.99982438929,10095.0732864182,-1960.6425441573035,0
127173.0,-21077.73498593773,2875.0463154463127,-2803.547634609409,3435.411590788404,11436.013913002684,-1395.0246205733963,0
127195.0,-19750.608899059553,1915.7319748093864,-3318.1889972340928,2398.000721141676,13123.308535735983,-1508.355037524025,0
127217.0,-20607.19588828017,3043.842422823832,-3429.656879827224,1991.1379902047743,15637.059808083915,-2464.169598117591,0
127239.0,-22437.407897457102,4405.528759999993,-3166.236106673785,2345.612184481464,15839.276068467412,-2997.6123736303434,0
127261.0,-23995.49017387749,2096.951516738782,-1245.5617353502184,4998.758792524995,16010.292955416013,-2840.6083982693926,0
127283.0,-25328.19024704626,4935.951236490438,2026.8413007054946,9231.915719628349,16865.254502946584,-3973.916744994407,0
127305.0,-26432.037489974482,806.8793092587362,7333.737242005951,15956.983467174128,17096.9241217233,-2178.60263660707,0
127327.0,-28130.722652264267,1274.1091642608587,5616.985949510588,25191.603535232472,19920.985142273,-1750.4357156307974,0
127349.0,-29837.319760638948,5402.174517413127,-15530.379709259407,21177.85164009275,30235.452976333123,-1136.347755688081,0
127371.0,-27561.407788928227,12739.251415585642,2212.0863072289153,9444.314982213991,22086.385908680753,930.8384817769522,0
127393.0,-25638.61125782706,8192.127883469835,-3191.6142805345958,11777.026233921923,16530.959558570656,-2736.471248733947,0
127415.0,-6784.327987134285,11649.155894477995,-7582.770091545793,8389.600303321877,23948.627001908597,-10485.964270240307,0
127437.0,-23215.73049265971,3624.8945834221627,-64.5058624101281,-9854.288480045649,1414.7287882145188,4103.831164548062,0
127459.0,-5374.104816414793,7461.246060246446,11340.435935955358,-7043.09084444006,-6369.832606366201,4146.016573369662,0
127481.0,-5176.98788557156,3291.7662763922654,5132.793343057919,-7562.691299237257,-9511.478492042079,1333.6888036561866,0
127503.0,-5819.687885959771,2545.0706449297177,-3178.679821274146,-5325.229848109346,-13597.05707296065,2960.3085311857317,0
127525.0,-8010.830931816481,3746.3479809234873,-239.45270159691,-12121.944121237311,-21497.624831788005,3760.6145878613293,0
127547.0,-8763.313771027137,3595.6566140269742,707.7391490728911,-11489.946406765159,-26432.342006210318,3614.6681339176644,0
127569.0,-12112.883731868496,3046.7882325501896,-3274.677765255694,-12614.020156290002,-29980.891305490302,4300.514926218504,0
127591.0,-15493.719045513322,2663.793511423854,-2070.0345364192135,-14810.457949713145,-34428.78832814139,4589.083448931215,0
127613.0,-18480.60479612744,1238.7664845479087,-4143.781784125193,-12934.382766448458,-34301.70331170162,3578.9303018048086,0
127635.0,-21784.977416866408,2060.141125098945,-4277.985740790691,-12889.18490679862,-34324.806215391654,2682.513862516546,0
127657.0,-25142.352380604392,2100.6818134849564,-4567.534502721906,-11414.844492717493,-34553.16881277798,1637.2660414955112,0
127679.0,-29667.742333673472,1942.013436452188,-4356.743855323252,-10473.71260433105,-34504.181880800745,1370.956405106366,0
127701.0,-33692.31654206269,3924.7240641911103,-6341.434371811129,-7913.482103704733,-34454.3797017217,779.7609203730417,0
127723.0,-34532.6878523975,3288.222850106702,-9493.830368867906,-2590.5532121732576,-34765.1854233735,943.7039569119008,0
127745.0,-34468.16277524734,3213.9889112455085,-15013.716961048369,1269.4056860803385,-34518.888625327214,1814.4807118630304,0
127767.0,-29579.24963964448,2193.4703292203208,-19698.844000691635,3937.9383535602915,-34720.61254811165,2324.014353506007,0
127789.0,-20314.890133486762,1061.6025059141573,-28657.350799547454,5108.892257022595,-26303.053540756384,3239.577074184126,0
127811.0,-13029.887002601019,-2849.3547796094513,-34809.17133385381,10428.966818873421,-12192.552121427527,3643.0145530061804,0
127833.0,-10537.424860395833,-1772.315744649444,-32375.354980709828,11217.203870663072,3207.01275274501,2139.2627293335254,0
127855.0,-15007.851821773389,455.8099715023333,-27644.91607294008,3566.465659342445,15209.64428466416,-3721.983265130884,0
127877.0,-33835.976979770065,3276.4781028898315,32980.773831314735,-5988.895509254369,4724.031254190527,-7982.581130018327,0
127899.0,-9971.372554622767,-12230.696162443779,-14493.292771151118,-7229.821013951619,24095.378169483272,-9268.346793725887,0
127921.0,-34612.27823201924,-12998.599539990295,-9208.088538377198,2671.816082171924,20122.514231102756,-499.0217131874024,0
127943.0,-19101.066782083406,101.5620346494939,-3385.16317346287,3535.133151562922,21028.850087061364,2255.00625515774,0
127965.0,-28019.586017802354,21321.109034157522,-8302.93621634443,262.46482436502106,17850.99864361661,9316.144746458027,0
127987.0,-18453.208837208964,4029.953069434886,30.230023315041414,-1329.458748351174,11575.538084059053,-91.53614812040325,0
