Timestamp,Ax,Ay,Az,Gx,Gy,Gz
10133,-24440,5048,-19616,6495,7651,-2848
10155,-13864,-6112,4972,5820,109,-468
10177,-15208,1452,2040,4448,4173,1275
10199,-16388,624,540,3076,5369,2341
10221,-16012,4404,-80,2301,5421,3126
10243,-15848,4928,-708,-2379,3744,658
10265,-15868,3652,-140,-1846,3114,-357
10287,-17400,2548,-1140,47,2784,-183
10309,-16572,3228,-1088,572,2121,-580
10331,-16884,2056,-644,-446,737,-1239
10353,-15808,2888,-480,-506,943,-954
10375,-15664,3172,-580,-534,1243,-1024
10397,-15900,2716,-500,-501,1022,-1401
10419,-16024,2968,-880,160,992,-1400
10441,-15748,2724,-480,68,1400,-1712
10463,-16432,1068,-556,-6,1939,-1743
10485,-16156,1460,-524,594,3125,-785
10507,-15752,1872,-428,385,4644,-360
10529,-15452,2744,-588,-207,6777,-295
10551,-16736,1992,-1176,-2204,9132,-790
10573,-17488,2536,-1240,-3573,10393,-1599
10595,-19452,-12,-3128,-47,3853,-2925
10617,-18940,6488,-456,3109,6286,-223
10639,-20228,6968,4052,3558,7091,80
10661,-15112,6576,12488,3101,2479,-234
10683,-14188,3316,9436,624,-2939,373
10705,-14088,1768,6712,1417,-6735,972
10727,-14488,2412,3048,-348,-7316,904
10749,-17252,928,-1236,310,-7861,-1138
10771,-17044,1152,-5936,1617,-6215,-647
10793,-15796,2880,-6152,-3215,-4938,-374
10815,-17872,1020,-8984,-1562,-6819,-461
10837,-17372,3092,-10292,476,-8974,3109
10859,-14832,552,-3724,-2122,-8825,-268
10881,-15820,-3724,-5908,-239,-4928,-3473
10903,-15044,2744,-2392,-1513,-601,-937
10925,-15488,2476,-5180,-5351,-1156,1540
10947,-15700,5144,-3312,-6839,-2894,3169
10969,-16056,-1204,-744,-2952,-5364,-2750
10991,-16840,172,-4432,5118,-3294,-1286
11013,-15632,2964,-4412,7817,740,496
11035,-17468,1316,-6420,8923,3996,2418
11057,-17688,7404,-4344,4919,6048,5803
11079,-16708,4036,7788,171,3288,-251
11101,-14740,-2184,14500,3739,-2120,-2889
11123,-12952,1600,14500,8032,-5369,-1029
11145,-15208,5188,5256,3856,-6409,2430
11167,-16464,5616,1928,-3758,-5744,4394
11189,-17216,6868,-4984,-11051,-3856,4071
11211,-15900,572,-2532,-12327,-4418,-1226
11233,-14496,-1100,-3192,-6024,-3593,-1287
11255,-13000,2044,1136,-2030,-2481,-1428
11277,-11304,1388,3388,871,-1926,-2146
11299,-14048,712,2540,-2365,-2619,-1767
11321,-16916,3352,-4860,-2524,-1820,-28
11343,-17608,1876,-5680,-2081,-1308,267
11365,-16312,-1248,-6824,-2404,1391,-1708
11387,-20300,-1864,-22176,6036,8100,1287
11409,-16504,5452,-2592,6012,1340,-394
11431,-17788,6548,23788,2385,-1035,2287
11453,-15560,-596,-6960,7645,7009,-1618
11475,-21732,3372,248,2816,6132,2693
11497,-14180,2856,-352,-560,4952,-158
11519,-15652,5352,-1240,-2237,2646,-51
11541,-15212,3224,-1552,-2372,2961,-1358
11563,-18224,-44,-648,-1465,3495,-1105
11585,-18540,-1164,160,1274,3464,693
11607,-16472,3192,-1188,2104,4033,1838
11629,-16200,4292,-1816,749,3245,-121
11651,-16224,3904,-2628,201,1948,-1126
11673,-16304,2408,-2368,504,1177,-1730
11695,-16508,624,-1380,-426,877,-1407
11717,-16260,1320,-1256,-2044,1451,-773
11739,-15892,2060,-1492,-3921,2101,-697
11761,-15576,3152,-1552,-4863,3083,-1083
11783,-15964,2500,-1420,-4799,3898,-1798
11805,-15660,2624,-1588,-3677,4836,-1529
11827,-15840,1288,-1600,-2732,6125,-1590
11849,-16404,104,-1612,-2264,7690,-680
11871,-21648,-48,3544,1004,2909,437
11893,-21628,-2296,3932,6812,-4177,-566
11915,-18148,6112,-760,10139,8834,136
11937,-22872,7828,96,7447,11170,101
11959,-21108,3388,8096,5588,9289,-1085
11981,-13364,4376,11200,6415,3979,-1468
12003,-13264,6200,12124,1806,-2255,-761
12025,-11376,4332,9424,-519,-7317,412
12047,-14540,6560,3368,-3521,-10859,3230
12069,-17996,1624,-3736,-11877,-12686,2835
12091,-16912,2036,-10964,-12906,-10941,3193
12113,-17184,3404,-10276,-11300,-8360,420
12135,-18260,968,-9248,-4220,-8064,-2855
12157,-17000,1132,-11088,3151,-7138,-2692
12179,-14612,616,704,5434,-7160,-1869
12201,-14908,2492,3616,3582,-7981,460
12223,-16896,3512,-1516,2369,-8392,3850
12245,-17220,3836,-4700,-2149,-7902,4160
12267,-17448,668,-3028,-3647,-8491,-387
12289,-17164,-2876,-2452,3982,-7444,-2094
12311,-16048,1848,-3636,8326,-3550,794
12333,-15136,3288,-3764,3458,702,1706
12355,-17124,2196,-7268,-3747,2643,3197
12377,-15612,4928,1076,-9615,614,1783
12399,-15192,-2824,4144,-5532,-2883,-4184
12421,-15480,1484,4984,2429,-3842,-539
12443,-15660,2148,2824,5518,-4694,-7
12465,-15488,3240,2284,5345,-3929,2213
12487,-16716,2296,-296,2405,-3460,2405
12509,-16096,4260,852,-1418,-3080,2698
12531,-15004,1760,552,-4426,-2988,1496
12553,-14240,4360,-1072,-5025,-1816,3543
12575,-13188,2492,-360,-13286,-1094,978
12597,-13696,-1996,-616,-12414,-2114,-3114
12619,-14268,-2116,-2892,-3708,-1941,-2469
12641,-17420,-680,-7808,-463,437,-1546
12663,-13928,-380,-8836,-808,5152,-2287
12685,-15424,2580,-1260,-4137,7575,57
12707,-32768,23724,31576,4623,-2731,7412
12729,-10476,1512,-12540,19676,6580,-6635
12751,-21964,2648,2460,677,2094,394
12773,-12876,164,1352,229,4468,-1978
12795,-17668,-1164,796,3722,4186,1243
12817,-16800,-44,420,5270,3901,1606
12839,-16072,2836,152,2654,2916,1706
12861,-16596,2788,-396,2020,3315,1348
12883,-16800,2868,-404,3896,3961,1689
12905,-15892,4420,-956,4449,3974,1226
12927,-16536,3916,-1404,1593,3083,-240
12949,-15980,3492,-732,334,2321,-699
12971,-16268,2892,-1180,-15,1146,-945
12993,-16644,2616,-952,-1688,-515,-1466
13015,-15900,2908,-888,-2089,-835,-1461
13037,-15832,2528,-400,-1262,-486,-1346
13059,-15820,2368,-268,-686,115,-1047
13081,-15884,2808,-204,-1026,917,-921
13103,-15776,2380,-216,-1025,2250,-1214
13125,-15728,1944,-344,-660,4064,-875
13147,-15864,3096,-812,-253,5684,-384
13169,-15720,2344,-1252,-1699,6934,-431
13191,-16724,1732,-1020,-2863,8481,-898
13213,-17544,428,332,-5078,10105,-1798
13235,-22300,-352,2856,-5295,5237,-3050
13257,-18880,5124,-220,4665,9921,-399
13279,-21708,6580,-1344,5092,10985,1081
13301,-19268,6652,4800,4257,7755,220
13323,-13640,4800,10400,-1111,2367,-1646
13345,-13020,3868,8868,-4784,-2213,677
13367,-12172,2348,10092,-3707,-7189,667
13389,-15132,3912,5416,-2976,-10893,905
13411,-18188,1732,-2600,-4044,-13028,507
13433,-18484,3344,-7748,-6950,-12110,2247
13455,-17416,5020,-6144,-8706,-11754,1817
13477,-16808,144,-5096,-4757,-11026,-1137
13499,-15976,1396,-4468,366,-8077,-829
13521,-17756,1576,-6648,8863,-6837,-1763
13543,-18192,1992,-8836,9343,-5630,1523
13565,-16012,4004,-3952,4159,-4659,1843
13587,-15676,1336,-3672,43,-3846,658
13609,-15924,3332,-6296,-2244,-1722,1799
13631,-16256,3308,-7176,-3680,-165,272
13653,-15904,-480,-2608,-523,894,-523
13675,-14748,1452,1344,1743,-933,1023
13697,-15144,2152,3636,-337,-3830,3115
13719,-15148,2912,4804,-2791,-4544,3520
13741,-16804,5228,-384,-3885,-2915,3342
13763,-15972,2784,956,-3494,-1616,1368
13785,-14756,40,3732,389,-1019,91
13807,-14072,128,4780,2430,-1936,-495
13829,-14000,2184,2012,1600,-1467,413
13851,-13644,2324,2024,-3460,1166,-2382
13873,-14684,828,-6164,-13980,4714,-4509
13895,-17248,4720,-8700,-12132,5853,82
13917,-16012,1788,-3344,-6109,2813,-2425
13939,-14552,-5384,-8184,2668,2563,-1552
13961,-14232,-1916,-5852,4782,316,-64
13983,-16476,18088,0,-606,1872,7444
14005,-19288,-2828,-17716,5644,6718,-5799
14027,-23688,-2688,7044,-2529,116,-2069
14049,-14900,1012,-416,5155,6556,425
14071,-17016,-640,-140,621,6670,2422
14093,-15516,4676,-732,1072,6762,3127
14115,-15000,5848,-1928,-3350,6363,624
14137,-16024,3932,-1928,-5013,5588,-260
14159,-17120,1888,-2204,-3897,4825,-484
14181,-16876,1988,-1636,-2127,3707,70
14203,-17004,2612,-2184,-1158,2249,-32
